Name of file;Speaker;Topic;Start time;End time;Location
#cmu.andrew.org.cfa.cfa-today-516_1#;MERCE CUNNINGHAM;1994 Art Lecture Series;5:00 PM;;DH 2315
cmu.andrew.academic.bio-242_0;Dr Jeffrey D Hermes;"""MHC Class II: A Target for Specific Immunomodulation of the";3:30 PM;;Mellon Institute Conference Room
cmu.andrew.academic.met-e-19_1;;Career Talk 3.28.95;12:00 PM;;
cmu.andrew.academic.sds.seminars-56_0;Professor John Skvoretz;SKVORETZ Seminar;4:00;5:30;PH 223D
cmu.andrew.assocs.gso-1415_1;;UTC Summer Seminars for Graduate Students;2:00;4:00 PM;Carnegie Conference Room, Warner Hall
cmu.andrew.assocs.UEA-142_0;;Re: entreprenuership speaker;7:00 PM;;room 261 of GSIA in the new building
cmu.andrew.official.career-center-1495_0;Andrew Gault;Marketability Talk;7:00 PM;;Carnegie Conference Room, 1st Floor Warner Hall
cmu.andrew.official.cmu-news-2450_0;Professors Rob A Rutenbar;CEDA Spring Lecture Series;3:30 PM;;Adamson Wing, Baker Hall
cmu.andrew.official.cmu-news-2457_0;Joe Mertz;CIL Education Seminar;12:00 PM;1:00 PM;Student Center Room 207
cmu.andrew.official.cmu-news-2477_0;Professor Warren Baker;Chemical Engineering Seminar;10:45 AM;;Doherty
cmu.andrew.official.cmu-news-2513_0;Professor Steven Granick;ChemE,Physics Seminar;4:30 PM;;Wean Hall 7500
cmu.andrew.official.cmu-news-2516_0;Steve Granick;Physics Colloquium,Feb. 27;4:30 PM;;7500 Wean Hall
cmu.andrew.official.cmu-news-2527_0;Richard Maddox;Cultural Analysis Lecture;3:30 PM;;Baker Hall 235A
cmu.andrew.official.cmu-news-2611_0;FARRO F RADJY, PHD;ECE Seminar;4:00;5:00 PM;Scaife Hall Auditorium
cmu.andrew.official.cmu-news-2627_0;Dr Franklyn G Prendergast;"""Picosecond Motion in Proteins: Experiments, Analysis,";3:30 PM;;Mellon Institute Conference Room
cmu.andrew.official.cmu-news-2633_0;;"""Coffee Talk""";8:00 PM;;Women's Center
cmu.andrew.official.cmu-news-2674_0;Professor Sara Kiesler;Graduate Student Seminar Lunch;12:00 PM;1:30 PM;romm 207, Student Activities Center
cmu.andrew.official.cmu-news-2680_0;Gary K Fedder;CEDA Spring Lecture;3:30 PM;;Adamson Wing, Baker Hall
cmu.andrew.official.cmu-news-2737_0;Dr R J (Bob) Pangborn;Chem. Eng. Seminar;10:45 AM;;Doherty Hall 1112
cmu.andrew.official.cmu-news-2752_0;Laura Petitto;Psychology Colloquium;12:00 PM;;Baker Hall 355
cmu.andrew.official.cmu-news-2811_0;Patricia Brooks;Psychology Post-Doc Talk;12:00 PM;;Baker Hall 355
cmu.andrew.official.cmu-news-2912_1;;"""Courseware"" Presentations";10:00 AM;12:00 PM;Hamburg Hall 1000
cmu.andrew.org.ACE-NIP-9_1;Stephanie Shaw;Speaker;10:30;12:00;Seminar Room 254A
cmu.andrew.org.cfa.cfa-today-19_0;;Architecture Lectures;4:30 PM;;Breed Hall, Margaret Morrison Room 103
cmu.andrew.org.cfa.cfa-today-212_0;Woody Vasulka;Art Lecture: 10/13/92;5:00 PM;;College of
