DATE;ABR;BAS;BZ;CAL;CAM;EMR;FVG;LAZ;LIG;LOM;MAR;MOL;PIE;PUG;SAR;SIC;TN;TOS;UMB;VDA;VEN
31/01/2020;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
06/02/2020;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21/02/2020;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;2
22/02/2020;0;0;0;0;0;2;0;0;0;40;0;0;1;0;0;0;0;0;0;0;16
23/02/2020;0;0;0;0;0;7;0;0;0;57;0;0;2;0;0;0;0;0;0;0;7
24/02/2020;0;0;0;0;0;9;0;0;0;61;0;0;0;0;0;0;0;0;0;0;7
25/02/2020;0;0;1;0;0;8;0;0;1;67;0;0;0;0;0;3;0;2;0;0;11
26/02/2020;0;0;0;0;0;21;0;0;10;65;1;0;0;0;0;0;0;0;0;0;28
27/02/2020;1;0;0;0;3;50;0;0;8;98;2;0;1;1;0;1;0;0;0;0;40
28/02/2020;0;0;0;1;1;48;0;0;0;128;3;0;9;2;0;0;0;6;0;0;40
29/02/2020;1;0;0;0;9;72;0;3;23;84;5;0;0;0;0;0;0;3;0;0;40
01/03/2020;3;0;0;0;4;68;6;0;–17;369;14;0;38;0;0;5;0;2;2;0;72
02/03/2020;0;0;0;0;0;50;3;1;–3;270;10;0;2;1;0;–2;0;0;0;0;10
03/03/2020;1;1;0;0;13;85;4;7;2;266;26;3;5;2;1;0;4;6;6;0;34
04/03/2020;1;0;0;0;1;124;5;16;2;300;23;0;26;3;1;11;1;19;1;0;53
05/03/2020;1;0;0;1;14;154;3;14;2;431;40;4;26;5;0;0;2;23;0;2;47
06/03/2020;1;2;3;2;12;172;10;10;4;361;35;5;35;3;3;6;3;18;7;5;81
07/03/2020;2;0;5;0;4;140;11;22;19;808;48;2;64;9;0;11;4;34;8;1;55
08/03/2020;6;1;0;5;40;170;15;11;27;769;65;0;153;14;6;18;9;53;2;1;127
09/03/2020;13;1;0;2;19;206;36;15;31;1.280;51;0;–10;10;8;1;10;42;2;6;74
10/03/2020;8;2;29;2;7;147;23;14;32;322;71;1;103;9;1;8;19;56;9;2;112
11/03/2020;0;1;37;6;27;206;10;34;53;1.489;85;1;48;18;17;21;25;56;9;3;167
12/03/2020;46;0;29;14;25;208;41;50;80;1.445;113;0;79;27;2;32;30;44;18;7;361
13/03/2020;5;2;21;5;41;316;90;77;71;1.095;133;1;260;25;4;15;56;106;12;1;211
14/03/2020;23;0;48;22;52;381;44;80;118;1.865;174;0;33;37;4;26;43;160;31;14;342
15/03/2020;25;1;31;8;61;449;46;79;96;1.587;234;0;238;64;30;32;172;151;36;15;235
16/03/2020;39;1;37;21;67;429;39;87;108;1.377;109;4;405;0;30;25;0;85;21;48;301
17/03/2020;53;8;50;25;60;409;8;84;111;1.571;129;4;381;110;10;24;7;187;33;31;231
18/03/2020;34;7;85;15;0;594;68;117;109;1.493;197;3;444;43;17;45;70;277;50;29;510
19/03/2020;122;10;60;40;192;689;137;99;172;2.171;169;18;591;95;72;58;68;152;87;50;270
20/03/2020;64;15;112;38;97;754;57;185;162;2.380;244;4;529;103;87;68;119;311;61;49;547
21/03/2020;80;14;73;28;95;737;134;182;215;3.251;172;11;291;94;37;82;140;219;67;49;586
22/03/2020;58;15;57;38;92;850;84;193;229;1.691;268;5;668;111;9;140;172;265;59;51;505
23/03/2020;76;9;46;19;90;980;56;157;259;1.555;148;1;441;120;20;91;69;184;56;29;383
24/03/2020;26;2;57;27;75;719;62;188;192;1.942;167;6;654;99;62;125;87;238;71;7;443
25/03/2020;124;21;77;32;98;800;147;173;189;1.643;198;0;509;88;21;148;112;273;62;1;494
26/03/2020;133;21;48;42;111;762;84;195;262;2.543;180;30;510;89;52;170;75;254;92;7;493
27/03/2020;71;17;97;101;144;772;94;199;129;2.409;82;6;558;152;36;86;94;224;82;44;562
28/03/2020;116;31;106;61;138;795;119;210;126;2.117;177;14;579;124;94;109;114;367;85;59;433
29/03/2020;160;20;105;59;167;736;44;201;254;1.592;185;4;535;91;14;101;89;305;54;73;428
30/03/2020;52;12;111;33;193;412;21;208;141;1.154;126;7;506;163;44;95;88;290;28;0;366
31/03/2020;56;12;46;12;140;543;92;181;199;1.047;141;10;589;91;40;92;64;196;27;44;431
01/04/2020;35;11;47;10;139;713;92;169;244;1.565;137;16;494;143;23;71;124;259;17;3;470
02/04/2020;61;9;61;22;225;546;114;169;122;1.292;136;5;558;131;49;73;133;406;33;37;486
03/04/2020;66;15;80;42;221;599;80;167;183;1.455;132;11;543;105;31;68;106;226;51;51;353
